claim_id,policy_number,claim_amount,age_of_driver,gender,marital_status,annual_income,education_level,occupation,vehicle_age,vehicle_category,accident_site,witness_present,police_report,past_claims,claim_description,fraud_reported
CLM_000174,POL_363626,4972.75,18,F,Widowed,50775.0,High School,Student,3,Luxury,Highway,0,1,1,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000175,POL_680099,4514.44,57,M,Single,23246.0,Master,Engineer,3,Large,Highway,1,1,3,"Tree fell on parked car during windstorm, roof damage",0
CLM_000176,POL_112038,10309.02,29,F,Single,54787.0,PhD,Teacher,19,Sports,Rural,1,1,3,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000177,POL_813328,3039.67,73,F,Divorced,23065.0,Master,Other,19,Sports,Rural,1,1,3,"Tree fell on parked car during windstorm, roof damage",0
CLM_000178,POL_855731,26378.41,53,M,Widowed,57490.0,PhD,Engineer,18,Mid-size,City,1,1,3,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000179,POL_220116,2004.23,62,M,Divorced,34057.0,PhD,Teacher,12,Compact,City,1,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000180,POL_814825,385862.9967220206,40,M,Single,50737.0,Master,Student,11,Mid-size,Highway,1,0,0,Medical bills submitted from out-of-network providers at inflated rates,1
CLM_000181,POL_663054,7619.77,64,F,Married,57812.0,Bachelor,Teacher,6,Compact,Parking Lot,0,0,0,"Tree fell on parked car during windstorm, roof damage",0
CLM_000182,POL_887352,824.08,48,M,Widowed,99078.0,Master,Business,11,Compact,Highway,0,1,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000183,POL_379786,598.04,28,F,Married,64855.0,Master,Other,3,Sports,City,1,1,2,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000184,POL_905934,6146.93,27,M,Widowed,77296.0,High School,Retired,1,Compact,Parking Lot,1,1,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000185,POL_772097,2131.98,20,M,Divorced,87435.0,High School,Teacher,1,Large,Rural,1,1,0,Theft of vehicle contents including electronics and personal items,0
CLM_000186,POL_456699,8699.33,71,F,Divorced,59785.0,Master,Business,4,Large,City,1,1,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000187,POL_216970,6062.37,31,F,Divorced,55714.0,Master,Retired,9,Large,City,1,1,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000188,POL_407757,2672.47,33,F,Divorced,28666.0,High School,Other,9,Sports,Parking Lot,1,1,1,"Door ding in parking lot, small dent and paint scratch",0
CLM_000189,POL_555884,2220.4196003324137,27,F,Divorced,47667.0,PhD,Student,8,Mid-size,City,0,1,2,Claiming luxury vehicle repairs for standard model car,1
CLM_000190,POL_265840,307.27,46,F,Married,35538.0,Master,Student,12,Luxury,City,0,0,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000191,POL_575763,3642.6606904671444,27,F,Divorced,41979.0,Bachelor,Other,6,Compact,City,0,1,2,Expensive medical treatment sought immediately after minor fender bender,1
CLM_000192,POL_103402,10770.84,29,F,Single,87413.0,Bachelor,Other,4,Luxury,City,1,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000193,POL_857168,8078.954606348242,47,F,Single,52292.0,Bachelor,Engineer,9,Mid-size,City,1,1,1,Claiming luxury vehicle repairs for standard model car,1
CLM_000194,POL_854639,460.08,58,M,Married,32482.0,Master,Business,9,Mid-size,City,0,1,2,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000195,POL_376183,3865.21,18,F,Widowed,77491.0,PhD,Business,5,Sports,City,1,1,1,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000196,POL_624902,5313.34,22,F,Single,69106.0,PhD,Other,18,Large,City,0,1,0,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000197,POL_898975,791.72,37,M,Widowed,70153.0,High School,Doctor,7,Large,Rural,1,1,3,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000198,POL_287330,3754.04,25,F,Married,20000.0,Master,Doctor,0,Mid-size,City,1,1,4,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000199,POL_632342,3252.94,60,M,Widowed,88973.0,PhD,Retired,16,Sports,Rural,1,1,0,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000200,POL_211579,536.76,29,M,Widowed,38830.0,Master,Retired,6,Sports,Rural,0,0,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000201,POL_755674,5098.39,18,F,Widowed,65559.0,High School,Doctor,13,Compact,Highway,1,1,1,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000202,POL_412942,6913.12,74,M,Widowed,100476.0,High School,Other,16,Large,Highway,1,0,1,Theft of vehicle contents including electronics and personal items,0
CLM_000203,POL_982554,15132.15,71,F,Married,93107.0,High School,Other,8,Mid-size,Rural,0,1,2,"Collision with deer on rural highway, front end damage",0
CLM_000204,POL_769987,43326.819656138745,37,M,Single,30449.0,Bachelor,Retired,16,Luxury,Rural,0,0,4,Inconsistent witness statements and conflicting accident details,1
CLM_000205,POL_632323,377.47,45,M,Divorced,21110.0,Master,Teacher,4,Large,City,1,1,0,"Door ding in parking lot, small dent and paint scratch",0
CLM_000206,POL_738551,730.16,74,M,Widowed,78607.0,High School,Other,19,Compact,Highway,1,1,1,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000207,POL_308573,6454.63,60,F,Single,52841.0,Master,Doctor,7,Sports,Parking Lot,1,1,1,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000208,POL_260263,6442.54,54,F,Single,39982.0,Bachelor,Business,5,Mid-size,Highway,1,0,1,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000209,POL_492077,6454.75,64,M,Married,62424.0,Bachelor,Other,10,Large,Rural,1,1,2,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000210,POL_899550,1501768.988698417,54,M,Single,46742.0,High School,Other,18,Luxury,Rural,0,1,5,Multiple claims filed in short time period with similar circumstances,1
CLM_000211,POL_269396,7018.72,29,F,Married,64026.0,High School,Teacher,3,Compact,City,0,1,2,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000212,POL_665579,16372.34,54,F,Widowed,51340.0,PhD,Retired,17,Compact,City,1,0,1,"Tree fell on parked car during windstorm, roof damage",0
CLM_000213,POL_916449,12469.02,66,M,Widowed,64448.0,Master,Other,0,Large,Highway,1,1,3,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000214,POL_656116,7919.53,66,M,Divorced,32109.0,High School,Student,12,Luxury,City,1,0,4,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000215,POL_100599,1857.7,73,F,Divorced,78489.0,PhD,Engineer,13,Compact,Parking Lot,1,1,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000216,POL_728038,9306.36,61,F,Divorced,63952.0,Master,Doctor,0,Mid-size,Parking Lot,1,1,2,"Collision with deer on rural highway, front end damage",0
CLM_000217,POL_439902,935.2,73,F,Single,62926.0,High School,Student,10,Compact,City,1,1,0,"Collision with deer on rural highway, front end damage",0
CLM_000218,POL_612340,2089.69,45,F,Widowed,27647.0,PhD,Retired,16,Luxury,Parking Lot,1,1,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000219,POL_120422,2509.3929750579446,64,F,Married,83993.0,PhD,Business,3,Sports,Parking Lot,1,1,4,"Suspicious timing of accident report, filed weeks after alleged incident",1
CLM_000220,POL_217301,3370.48,32,M,Divorced,49726.0,Master,Engineer,11,Sports,Highway,0,1,1,"Tree fell on parked car during windstorm, roof damage",0
CLM_000221,POL_480612,95988.9,23,F,Married,64561.0,PhD,Student,9,Large,Parking Lot,1,1,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000222,POL_972064,181.11,61,M,Married,43544.0,Master,Engineer,5,Luxury,Rural,0,1,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000223,POL_945964,8344.77,76,F,Divorced,55218.0,Master,Doctor,0,Compact,Rural,1,1,0,"Door ding in parking lot, small dent and paint scratch",0
CLM_000224,POL_422451,753.1940094404436,78,M,Widowed,55943.0,Master,Retired,6,Compact,Highway,1,1,3,Multiple claims filed in short time period with similar circumstances,1
CLM_000225,POL_351083,1468.65,37,F,Divorced,20000.0,Bachelor,Other,15,Sports,City,1,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000226,POL_160738,15266.65,67,F,Married,61649.0,PhD,Business,13,Sports,Highway,1,1,1,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000227,POL_352572,3282.7,31,M,Divorced,89307.0,Master,Retired,19,Mid-size,City,0,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000228,POL_694916,591.93,19,M,Married,60796.0,High School,Engineer,19,Sports,City,0,1,1,"Collision with deer on rural highway, front end damage",0
CLM_000229,POL_182582,1019.48,26,F,Married,30846.0,Bachelor,Student,5,Mid-size,City,1,0,0,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000230,POL_189814,8261.79,54,F,Divorced,62999.0,Bachelor,Doctor,4,Compact,City,1,1,2,"Collision with deer on rural highway, front end damage",0
CLM_000231,POL_867460,996.7,37,F,Single,71190.0,PhD,Doctor,17,Mid-size,City,1,1,0,"Minor collision in parking garage, exchanged insurance information",0
CLM_000232,POL_609597,4124.45,43,F,Divorced,60249.0,Master,Retired,14,Mid-size,Highway,1,1,0,Hail damage to vehicle roof and windows during severe storm,0
CLM_000233,POL_955662,3191.86,46,F,Single,48517.0,PhD,Other,5,Large,City,1,1,2,Theft of vehicle contents including electronics and personal items,0
CLM_000234,POL_172574,1121.7,18,M,Married,45157.0,Bachelor,Student,18,Sports,Parking Lot,1,1,4,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000235,POL_897549,74303.71,72,M,Married,45074.0,Master,Other,0,Mid-size,Parking Lot,0,1,0,"Tree fell on parked car during windstorm, roof damage",0
CLM_000236,POL_658582,12272.838526785212,52,F,Single,63956.0,High School,Other,0,Compact,City,1,1,3,Multiple injuries reported for single occupant in low-speed accident,1
CLM_000237,POL_903035,142.92,23,M,Married,21858.0,Master,Student,12,Luxury,Parking Lot,1,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000238,POL_231869,3942.94,54,M,Single,42563.0,Bachelor,Engineer,2,Mid-size,Rural,1,0,1,"Tree fell on parked car during windstorm, roof damage",0
CLM_000239,POL_234628,1104.69,70,M,Single,81912.0,High School,Retired,9,Sports,Highway,1,1,1,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000240,POL_791798,10706.97,76,F,Married,82684.0,Master,Retired,2,Large,Highway,1,1,0,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000241,POL_598369,907.98,22,M,Widowed,20437.0,High School,Teacher,8,Compact,City,1,1,1,"Door ding in parking lot, small dent and paint scratch",0
CLM_000242,POL_676510,7102.860929387994,50,F,Single,27372.0,High School,Retired,7,Large,City,0,0,0,Medical bills submitted from out-of-network providers at inflated rates,1
CLM_000243,POL_273148,6358.07,66,M,Divorced,44588.0,Bachelor,Doctor,2,Luxury,Rural,1,0,0,"Collision with deer on rural highway, front end damage",0
CLM_000244,POL_377932,10923.07,68,F,Divorced,67852.0,High School,Engineer,12,Mid-size,City,1,0,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000245,POL_653306,492.53,31,M,Married,20000.0,PhD,Student,5,Mid-size,Parking Lot,0,0,0,"Door ding in parking lot, small dent and paint scratch",0
CLM_000246,POL_736059,1804.88,29,F,Widowed,48904.0,Bachelor,Retired,12,Sports,Rural,1,1,1,"Tree fell on parked car during windstorm, roof damage",0
CLM_000247,POL_543692,1462.03,59,F,Married,40516.0,PhD,Engineer,19,Mid-size,Parking Lot,1,1,3,"Door ding in parking lot, small dent and paint scratch",0
CLM_000248,POL_322086,1118.79,37,M,Widowed,76519.0,High School,Retired,19,Compact,Highway,1,1,4,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000249,POL_665492,42115.93,70,F,Single,20000.0,PhD,Student,11,Luxury,Parking Lot,0,1,1,"Tree fell on parked car during windstorm, roof damage",0
CLM_000250,POL_891952,14079.567008371347,67,F,Single,51851.0,Master,Business,12,Large,Highway,1,1,1,Medical bills submitted from out-of-network providers at inflated rates,1
CLM_000251,POL_865388,449.74,41,F,Single,42128.0,High School,Student,1,Luxury,Parking Lot,0,0,2,"Collision with deer on rural highway, front end damage",0
CLM_000252,POL_823378,11811.07,76,F,Single,79396.0,Master,Student,15,Mid-size,Highway,0,1,0,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000253,POL_310922,71914.58,60,F,Divorced,61953.0,PhD,Student,5,Large,City,0,1,2,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000254,POL_847581,14026.42,79,F,Divorced,38284.0,Master,Retired,18,Sports,Parking Lot,1,0,4,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000255,POL_426858,305.19,51,F,Married,67068.0,High School,Teacher,12,Luxury,Highway,0,1,2,"Collision with deer on rural highway, front end damage",0
CLM_000256,POL_518373,1441.8,42,F,Widowed,42223.0,Master,Student,16,Large,Parking Lot,1,1,1,"Tree fell on parked car during windstorm, roof damage",0
CLM_000257,POL_804314,19937.68,67,M,Single,69987.0,PhD,Doctor,8,Large,Rural,0,0,0,Theft of vehicle contents including electronics and personal items,0
CLM_000258,POL_781446,1031.22,46,M,Single,45258.0,PhD,Doctor,16,Large,City,1,0,6,Hail damage to vehicle roof and windows during severe storm,0
CLM_000259,POL_491559,9020.19271435794,74,F,Widowed,71093.0,PhD,Engineer,1,Compact,Highway,1,1,2,"Vehicle completely destroyed in minor collision, claiming total loss",1
CLM_000260,POL_559381,9527.63,56,F,Widowed,58722.0,High School,Teacher,18,Luxury,Rural,1,0,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000261,POL_642717,742.19,48,M,Married,115210.0,PhD,Engineer,18,Large,Parking Lot,1,1,4,"Minor collision in parking garage, exchanged insurance information",0
CLM_000262,POL_573417,2726.33,73,M,Widowed,48942.0,High School,Doctor,6,Luxury,Rural,1,0,1,"Door ding in parking lot, small dent and paint scratch",0
CLM_000263,POL_226882,23.06,64,M,Single,57657.0,Master,Other,9,Large,Parking Lot,1,1,1,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000264,POL_359947,1374.827216220361,60,F,Single,40412.0,PhD,Doctor,9,Sports,City,1,1,0,Expensive medical treatment sought immediately after minor fender bender,1
CLM_000265,POL_335612,2040.9,67,M,Single,50054.0,Master,Business,19,Sports,Rural,0,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000266,POL_167136,458.67,40,F,Single,20000.0,Bachelor,Student,8,Sports,City,0,1,1,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000267,POL_454508,34496.63,61,F,Single,59312.0,Master,Other,16,Mid-size,Highway,0,1,3,"Tree fell on parked car during windstorm, roof damage",0
CLM_000268,POL_122056,348.9,55,M,Married,76857.0,Bachelor,Doctor,14,Large,Parking Lot,1,1,3,"Tree fell on parked car during windstorm, roof damage",0
CLM_000269,POL_716886,4054.434448654795,37,F,Single,57933.0,Master,Retired,1,Mid-size,Parking Lot,1,1,2,"Suspicious timing of accident report, filed weeks after alleged incident",1
CLM_000270,POL_680828,3626.82,40,F,Married,23723.0,High School,Retired,3,Luxury,City,1,0,0,"Minor collision in parking garage, exchanged insurance information",0
CLM_000271,POL_341292,25897.71,79,F,Single,33964.0,Master,Engineer,18,Mid-size,City,1,0,1,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000272,POL_717024,345.92,62,F,Divorced,20000.0,High School,Other,16,Luxury,Highway,1,1,0,"Minor collision in parking garage, exchanged insurance information",0
CLM_000273,POL_330914,17064.33,69,M,Divorced,69578.0,High School,Engineer,4,Luxury,Rural,1,1,6,Hail damage to vehicle roof and windows during severe storm,0
CLM_000274,POL_107540,3027.07,33,M,Divorced,29870.0,PhD,Student,6,Luxury,Parking Lot,1,1,3,"Door ding in parking lot, small dent and paint scratch",0
CLM_000275,POL_174441,683.85,67,F,Divorced,49426.0,High School,Student,17,Mid-size,Parking Lot,0,1,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000276,POL_842225,5961.96,59,F,Married,46925.0,Bachelor,Business,6,Large,Highway,1,1,4,"Tree fell on parked car during windstorm, roof damage",0
CLM_000277,POL_761759,4018.2,77,M,Married,79755.0,PhD,Teacher,16,Mid-size,Highway,0,1,0,"Door ding in parking lot, small dent and paint scratch",0
CLM_000278,POL_161733,1211.57,72,F,Widowed,51706.0,PhD,Engineer,6,Large,City,1,1,0,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000279,POL_340062,7860.092913191919,25,M,Single,66178.0,Master,Student,3,Large,City,0,0,2,Medical bills submitted from out-of-network providers at inflated rates,1
CLM_000280,POL_170674,1672.42,67,F,Divorced,60929.0,High School,Engineer,7,Luxury,Rural,1,1,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000281,POL_132938,3534.32,38,F,Married,77188.0,High School,Student,12,Mid-size,Highway,1,1,2,Theft of vehicle contents including electronics and personal items,0
CLM_000282,POL_446479,8048.14,18,M,Single,45218.0,Bachelor,Doctor,3,Large,Rural,0,1,0,"Tree fell on parked car during windstorm, roof damage",0
CLM_000283,POL_174299,32177.58,72,M,Single,87392.0,Master,Engineer,5,Sports,Highway,0,1,2,"Collision with deer on rural highway, front end damage",0
CLM_000284,POL_639131,465.58,25,M,Married,20000.0,Master,Doctor,4,Large,Parking Lot,1,1,3,"Tree fell on parked car during windstorm, roof damage",0
CLM_000285,POL_349565,212261.17283690485,46,M,Divorced,67149.0,PhD,Engineer,11,Sports,Highway,1,1,1,Exaggerated injury claims with inconsistent medical reports,1
CLM_000286,POL_392004,159.47,49,F,Widowed,32668.0,PhD,Teacher,3,Mid-size,Highway,1,0,5,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000287,POL_801474,2373.98,55,M,Single,40145.0,PhD,Business,8,Mid-size,Parking Lot,1,0,0,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000288,POL_608993,7204.61,22,F,Widowed,61388.0,Bachelor,Retired,3,Mid-size,Highway,1,1,2,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000289,POL_324643,12728.909229871406,64,M,Divorced,61228.0,Bachelor,Retired,18,Large,Rural,1,1,0,Expensive medical treatment sought immediately after minor fender bender,1
CLM_000290,POL_665427,1171.4,39,M,Divorced,62129.0,PhD,Retired,13,Compact,City,1,1,1,"Door ding in parking lot, small dent and paint scratch",0
CLM_000291,POL_238739,4360.97611158199,64,F,Widowed,22277.0,Master,Doctor,4,Large,City,1,1,1,Inconsistent witness statements and conflicting accident details,1
CLM_000292,POL_858490,1422.97,51,M,Divorced,78981.0,Bachelor,Other,17,Large,Rural,1,0,1,"Collision with deer on rural highway, front end damage",0
CLM_000293,POL_698782,1231.46,18,M,Single,31987.0,Master,Student,9,Luxury,Parking Lot,1,1,4,Theft of vehicle contents including electronics and personal items,0
CLM_000294,POL_704201,10661.59,72,M,Widowed,34654.0,Master,Retired,18,Luxury,Highway,1,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000295,POL_595631,8285.195989779091,72,M,Divorced,62758.0,High School,Teacher,11,Large,Rural,1,1,2,Exaggerated injury claims with inconsistent medical reports,1
CLM_000296,POL_354801,1054.3,43,F,Widowed,44266.0,PhD,Retired,17,Sports,City,1,0,5,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000297,POL_922733,11491.92,60,F,Single,56165.0,High School,Engineer,16,Luxury,City,1,1,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000298,POL_595948,4726.54,27,M,Divorced,20000.0,PhD,Doctor,10,Large,Rural,1,1,0,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000299,POL_946721,10089.93,47,M,Single,55686.0,PhD,Other,2,Compact,City,0,1,1,"Minor collision in parking garage, exchanged insurance information",0
CLM_000300,POL_526833,7665.18,67,M,Divorced,54357.0,Master,Engineer,16,Sports,Rural,1,1,5,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000301,POL_299659,859.63,35,F,Married,39803.0,PhD,Other,0,Mid-size,City,1,1,1,"Door ding in parking lot, small dent and paint scratch",0
CLM_000302,POL_198907,1286.56,34,F,Divorced,20000.0,Master,Engineer,14,Large,Rural,0,1,1,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000303,POL_201639,9144.8,43,F,Widowed,45744.0,Master,Engineer,8,Large,Highway,1,0,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000304,POL_790993,7446.92,25,F,Divorced,49253.0,PhD,Business,14,Sports,Highway,1,1,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000305,POL_551989,2888.95,64,M,Single,42655.0,Master,Business,2,Luxury,Highway,0,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000306,POL_471507,3554.58,57,M,Single,20000.0,Master,Student,18,Luxury,Highway,1,1,0,"Door ding in parking lot, small dent and paint scratch",0
CLM_000307,POL_544154,20261.9,66,M,Divorced,81895.0,Master,Doctor,12,Luxury,City,1,0,4,Hail damage to vehicle roof and windows during severe storm,0
CLM_000308,POL_531071,1227.39,29,F,Widowed,37223.0,Bachelor,Teacher,11,Mid-size,Parking Lot,0,0,0,"Door ding in parking lot, small dent and paint scratch",0
CLM_000309,POL_589710,6772.64,44,M,Married,45556.0,Master,Teacher,19,Sports,Rural,0,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000310,POL_864491,2201.1,25,F,Widowed,20000.0,Bachelor,Teacher,0,Sports,Parking Lot,1,1,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000311,POL_156802,2150.55,42,F,Married,81897.0,Bachelor,Engineer,16,Luxury,City,1,1,3,"Tree fell on parked car during windstorm, roof damage",0
CLM_000312,POL_806073,15493.34,63,M,Single,40669.0,Master,Business,12,Luxury,City,0,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000313,POL_785197,10281.74,21,M,Widowed,51969.0,Master,Doctor,0,Compact,Parking Lot,1,1,3,Theft of vehicle contents including electronics and personal items,0
CLM_000314,POL_777568,10099.73,50,M,Married,72415.0,Bachelor,Engineer,9,Compact,Parking Lot,1,0,0,Theft of vehicle contents including electronics and personal items,0
CLM_000315,POL_203198,21125.12,18,F,Divorced,36474.0,Bachelor,Other,14,Large,City,1,1,2,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000316,POL_163556,3076.37,36,F,Single,69265.0,Master,Business,6,Large,City,1,1,3,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000317,POL_522179,8291.03,48,M,Divorced,20000.0,Master,Business,17,Sports,Rural,1,1,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000318,POL_863587,1871.7,33,M,Single,61020.0,PhD,Retired,15,Sports,Highway,1,1,0,Hail damage to vehicle roof and windows during severe storm,0
CLM_000319,POL_455784,4847.65,31,F,Widowed,81445.0,Bachelor,Retired,13,Mid-size,Highway,0,1,1,"Tree fell on parked car during windstorm, roof damage",0
CLM_000320,POL_939482,2452.31,70,M,Widowed,38392.0,Bachelor,Doctor,17,Mid-size,Rural,1,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000321,POL_214576,3447.81,65,F,Single,72378.0,PhD,Other,6,Compact,Parking Lot,1,0,1,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000322,POL_360735,7278.9,22,F,Single,86678.0,Bachelor,Doctor,16,Large,City,0,1,4,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000323,POL_300896,873.64,58,M,Single,44903.0,High School,Doctor,17,Compact,Parking Lot,1,1,2,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000324,POL_299448,68773.99,43,M,Widowed,43249.0,Bachelor,Engineer,11,Compact,Highway,1,1,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000325,POL_662336,659.17,79,M,Married,32034.0,PhD,Student,7,Large,Highway,1,0,1,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000326,POL_570405,482.37,45,M,Divorced,39805.0,High School,Doctor,1,Mid-size,Parking Lot,1,0,1,"Door ding in parking lot, small dent and paint scratch",0
CLM_000327,POL_246991,16935.48,19,F,Divorced,33693.0,Master,Retired,6,Large,Highway,0,1,1,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000328,POL_542374,9774.13,67,F,Widowed,32018.0,PhD,Student,3,Luxury,City,1,1,4,"Tree fell on parked car during windstorm, roof damage",0
CLM_000329,POL_292401,7602.1,23,F,Divorced,73977.0,PhD,Engineer,17,Luxury,Rural,1,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000330,POL_392075,7650.44,26,M,Single,34201.0,Master,Student,5,Luxury,Parking Lot,0,1,1,"Minor collision in parking garage, exchanged insurance information",0
CLM_000331,POL_585100,2926.7,50,F,Married,55170.0,PhD,Teacher,8,Sports,City,1,1,4,"Tree fell on parked car during windstorm, roof damage",0
CLM_000332,POL_361941,775.97,58,M,Divorced,50765.0,Bachelor,Other,8,Mid-size,City,1,1,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000333,POL_179046,3339.94,42,M,Married,79962.0,Master,Student,13,Mid-size,Highway,0,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000334,POL_564656,1079.5,65,M,Single,39937.0,PhD,Doctor,7,Sports,City,1,1,4,Hail damage to vehicle roof and windows during severe storm,0
CLM_000335,POL_947272,12870.33,30,M,Divorced,57623.0,Master,Engineer,18,Compact,Parking Lot,1,1,0,"Minor collision in parking garage, exchanged insurance information",0
CLM_000336,POL_997546,2390.87,26,M,Widowed,65821.0,Master,Other,2,Luxury,City,0,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000337,POL_677057,864.16,70,M,Married,79795.0,Master,Doctor,17,Luxury,Rural,1,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000338,POL_202664,1840.74,30,F,Single,39645.0,High School,Other,4,Compact,City,1,0,2,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000339,POL_153045,5538.05,48,M,Married,37642.0,PhD,Retired,13,Large,City,1,1,2,"Collision with deer on rural highway, front end damage",0
CLM_000340,POL_783823,1279.74,58,F,Divorced,28764.0,High School,Teacher,3,Large,Rural,0,1,1,"Door ding in parking lot, small dent and paint scratch",0
CLM_000341,POL_666847,868.41,28,F,Divorced,94726.0,PhD,Retired,6,Mid-size,City,1,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000342,POL_976638,4296.39,21,M,Widowed,77689.0,Bachelor,Doctor,19,Sports,City,0,1,0,"Collision with deer on rural highway, front end damage",0
CLM_000343,POL_115474,4304.64,51,M,Single,49156.0,Bachelor,Doctor,11,Mid-size,Highway,1,1,1,"Collision with deer on rural highway, front end damage",0
CLM_000344,POL_197793,1393.52,78,M,Single,88629.0,Bachelor,Doctor,1,Large,Parking Lot,1,0,1,"Minor collision in parking garage, exchanged insurance information",0
CLM_000345,POL_890170,1470.62,55,F,Widowed,47963.0,PhD,Business,10,Compact,Highway,1,0,3,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000346,POL_989921,4222.05,63,M,Widowed,64488.0,Master,Teacher,13,Mid-size,Parking Lot,0,1,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000347,POL_347861,339.64,21,F,Single,50203.0,Master,Other,15,Luxury,Rural,1,1,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000348,POL_274389,360.97,55,M,Married,57956.0,High School,Doctor,19,Luxury,Rural,0,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000349,POL_526156,1014.69,36,M,Married,55835.0,High School,Doctor,5,Compact,Rural,1,1,1,"Door ding in parking lot, small dent and paint scratch",0
